year;TR_ID;city;gender;total_crime;homicide;assault;sexual_crimes;kidnapping;defamation;theft;robbery;swindling;production_and_commerce_of_drugs;use_and_purchase_of_drugs;forgery;bad_treatment;embezzlement;bribery;smuggling;traffic_crimes;forestry_crimes;crimes_related_with_firearms_and_knifes;opposition_to_the_bankruptcy_and_enforcement_law;opposition_to_the_military_criminal_law;threat;damage_to_property;prevention_of_performance;contrary_to_the_measures_for_family_protection;other_crimes;unknown
2020;TR831;Samsun;Male;4759;111;995;95;92;100;411;70;104;162;320;84;2;4;0;30;415;34;263;364;41;174;49;118;141;577;3
2020;TR831;Samsun;Female;211;2;30;0;6;7;54;1;12;5;2;4;1;1;0;0;6;0;2;25;0;13;0;1;3;36;0
2020;TR832;Tokat;Male;1457;57;364;39;22;32;122;17;37;36;15;25;0;2;0;23;137;9;43;79;13;75;16;26;63;202;3
2020;TR832;Tokat;Female;60;2;6;0;0;0;10;3;5;1;1;2;0;0;0;1;0;0;0;3;0;3;0;0;4;19;0
2020;TR833;Çorum;Male;1601;45;329;41;30;28;159;45;44;23;10;17;1;2;0;13;134;13;52;179;10;95;12;28;52;238;1
2020;TR833;Çorum;Female;70;0;11;0;0;0;21;2;4;0;0;1;0;0;0;0;0;0;1;9;0;5;1;0;3;12;0
2020;TR834;Amasya;Male;1360;27;247;32;14;24;89;10;37;20;28;10;0;2;0;16;164;7;31;207;24;61;14;25;48;223;0
2020;TR834;Amasya;Female;49;0;3;0;0;2;4;3;4;0;0;0;1;0;0;0;4;0;2;11;0;1;1;1;0;12;0
2020;TR901;Trabzon;Male;2023;42;374;56;40;35;239;26;47;83;77;29;0;1;0;40;143;5;119;74;16;97;35;48;33;362;2
2020;TR901;Trabzon;Female;76;0;12;0;0;1;15;0;3;4;0;0;2;0;0;3;2;1;2;3;0;4;2;0;1;21;0
2020;TR902;Ordu;Male;1960;48;485;54;56;31;158;25;62;40;50;31;0;1;0;22;212;27;58;102;21;98;13;33;89;244;0
2020;TR902;Ordu;Female;97;3;13;0;6;2;17;1;2;3;0;1;1;0;0;2;2;1;2;6;0;7;0;3;4;21;0
2020;TR903;Giresun;Male;1288;23;274;38;31;31;104;17;41;18;29;16;0;2;0;11;164;5;53;53;8;76;12;23;50;207;2
2020;TR903;Giresun;Female;51;1;6;0;1;1;4;0;3;2;0;3;1;1;0;0;3;2;2;1;0;2;1;0;2;15;0
2020;TR904;Rize;Male;1114;23;179;27;14;35;98;16;22;49;62;19;0;0;0;30;71;9;78;29;12;63;14;43;23;196;2
2020;TR904;Rize;Female;31;0;3;0;1;1;6;0;1;0;0;1;0;0;0;3;0;0;1;0;0;1;0;0;2;11;0
2020;TR905;Artvin;Male;469;10;65;9;11;12;61;8;8;25;9;18;0;2;0;40;24;1;17;19;3;16;7;9;17;76;2
2020;TR905;Artvin;Female;18;1;1;0;0;0;0;1;0;1;0;5;0;0;0;3;0;1;0;0;0;1;1;2;0;1;0
2020;TR906;Gümüşhane;Male;281;20;59;5;9;4;22;7;7;8;5;2;0;1;0;3;34;1;9;5;7;19;4;8;9;33;0
2020;TR906;Gümüşhane;Female;7;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0
2020;TRA11;Erzurum;Male;1757;49;313;28;33;32;167;25;22;102;36;24;0;1;0;51;55;0;69;144;101;49;15;52;45;340;4
2020;TRA11;Erzurum;Female;30;1;4;0;0;0;6;1;0;1;0;3;0;0;0;0;1;0;0;4;0;1;0;0;2;6;0
2020;TRA12;Erzincan;Male;557;10;68;15;5;18;65;11;14;44;12;7;0;0;0;10;49;0;4;19;26;25;8;19;22;106;0
2020;TRA12;Erzincan;Female;18;2;4;0;0;0;4;0;1;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;3;0
2020;TRA13;Bayburt;Male;136;3;25;6;1;2;18;4;1;7;1;7;0;0;0;0;7;0;10;0;4;3;3;6;3;25;0
2020;TRA13;Bayburt;Female;7;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0
2020;TRA21;Ağrı;Male;1205;67;166;18;23;11;127;33;40;99;13;24;1;0;1;57;12;0;31;12;91;43;7;18;54;255;2
2020;TRA21;Ağrı;Female;23;0;2;0;1;0;4;0;1;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0
2020;TRA22;Kars;Male;682;33;144;8;10;9;57;11;16;12;5;8;0;0;0;8;32;1;48;8;50;40;5;25;18;134;0
2020;TRA22;Kars;Female;17;0;2;1;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0
2020;TRA23;Iğdır;Male;627;19;140;8;28;14;66;16;14;26;6;11;0;0;0;14;26;0;20;8;12;27;8;15;47;102;0
2020;TRA23;Iğdır;Female;15;1;1;0;2;0;2;0;0;2;1;2;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0
2020;TRA24;Ardahan;Male;247;6;61;3;13;6;27;2;3;2;1;2;0;1;0;4;16;3;8;9;10;15;1;0;7;47;0
2020;TRA24;Ardahan;Female;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2020;TRB11;Malatya;Male;1849;51;340;25;58;24;233;54;59;107;75;21;1;2;1;24;101;4;125;39;53;57;5;25;113;251;1
2020;TRB11;Malatya;Female;51;0;10;0;1;3;10;4;2;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;9;0
2020;TRB12;Elâzığ;Male;1742;42;305;25;20;19;263;40;69;100;157;29;0;0;0;15;70;0;73;42;33;74;7;30;38;290;1
2020;TRB12;Elâzığ;Female;54;2;8;0;4;2;8;0;4;3;3;1;0;0;0;0;0;0;0;1;0;3;0;0;0;15;0
2020;TRB13;Bingöl;Male;546;7;93;16;29;6;60;10;19;61;25;7;3;0;0;13;9;1;11;6;30;15;2;8;10;105;0
2020;TRB13;Bingöl;Female;13;0;2;0;0;0;5;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
2020;TRB14;Tunceli;Male;218;6;35;2;6;3;16;1;1;8;3;2;0;0;0;2;14;1;2;2;32;16;2;3;5;56;0
2020;TRB14;Tunceli;Female;11;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;6;0
2020;TRB21;Van;Male;2263;61;245;39;32;16;386;48;23;264;57;41;0;0;0;147;33;0;91;18;49;57;27;28;48;552;1
2020;TRB21;Van;Female;51;0;3;0;3;1;10;0;3;8;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;20;0
2020;TRB22;Muş;Male;629;28;78;13;9;8;126;10;15;21;18;17;1;1;0;14;10;2;37;2;14;33;6;16;19;131;0
2020;TRB22;Muş;Female;22;0;0;1;0;0;6;0;4;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;8;0
2020;TRB23;Bitlis;Male;647;19;63;3;10;5;110;6;7;51;29;6;0;0;0;17;6;1;15;4;27;24;5;16;10;212;1
2020;TRB23;Bitlis;Female;18;0;0;0;0;0;2;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
2020;TRB24;Hakkari;Male;492;7;31;5;13;1;27;4;7;88;3;12;0;0;0;46;2;1;22;1;60;10;5;13;4;129;1
2020;TRB24;Hakkari;Female;14;2;0;0;0;0;2;0;0;3;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;4;0
2020;TRC11;Gaziantep;Male;5901;152;921;53;89;47;1376;241;140;346;150;107;1;4;12;119;105;4;437;281;83;165;41;65;25;932;5
2020;TRC11;Gaziantep;Female;169;7;14;0;2;1;47;10;15;9;3;4;0;1;0;0;2;0;4;7;0;1;3;1;0;38;0
2020;TRC12;Adıyaman;Male;894;26;123;16;11;11;137;19;28;67;55;22;0;1;1;4;35;1;35;22;15;40;9;16;7;191;2
2020;TRC12;Adıyaman;Female;26;0;0;0;1;0;12;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;0
2020;TRC13;Kilis;Male;579;17;60;4;5;14;91;20;7;42;21;5;0;0;1;46;10;0;19;13;18;8;5;21;25;127;0
2020;TRC13;Kilis;Female;17;0;0;0;1;0;5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0
